ID de Division;Division;Libell� Taxe;Lettre Fiscale;Tx de TVA;Libell� Taxe Spe;Lettre Fiscale Mode spe;Tx de TVA mode spe;
10001;SAUCES;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10002;SOFT SMALL;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10003;SOFT MEDIUM;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10004;SOFT MAXI;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10005;ACCOMP. MAXI;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10006;FETES ANNIVERSAIRE;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10007;BIERE MEDIUM;TVA 17% (fix);;17.000000;TVA 17% (fix);;17.000000;
10008;DESSERTS ENFANTS;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10009;DESSERTS GLACES;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10010;MENUS OK;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10011;FINGER FOOD;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10012;GRANDS PRODUITS;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10013;MENUS;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10014;MENUS XL;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10015;ACCOMP. MEDIUM;TVA 3% ;;3.000000;TVA 3%;;3.000000;
10016;MAGIC BOX;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10017;SALADES;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10018;BOISSONS CHAUDES;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10019;PRIMES;TVA 3% (fix);;3.000000;TVA 3% (fix);;3.000000;
10020;FUN BOX;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10021;PETITS PRODUITS;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10022;MENUS GRANDE SALADE;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10023;ACCOMP. SMALL;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10024;DIVERS;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10025;PATISSERIES;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10026;MENUS STUDENT;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10027;VENTES ANNEXES TFaib;TVA 3% (va);;3.000000;TVA 3% (va);;3.000000;
10028;VENTES ANNEXES Tfort;TVA 17% (va);;17.000000;TVA 3% (va);;3.000000;
10029;ACCOMP.DESSERTS/BKF;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10030;GRANDS PRODUITS+;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10031;SHAKES;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10032;BIERE MAXI;TVA 17% (fix);;17.000000;TVA 17% (fix);;17.000000;
10033;BKF FORMULES ;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10034;BKF VIENNOISERIES;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10035;DESSERTS AUTRES;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10036;SOFT KIDS;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10037;GD PRODUITS STUD;TVA 3%;;3.000000;TVA 3% ;;3.000000;
10038;GD PRODUITS+ STUD;TVA 3%;;3.000000;TVA 3% ;;3.000000;
