ID de division; Nom; Lettre fiscale; tva; lettre fiscale mode spe; tva mode spe;Nom NL
10005;ACCOMP. MAXI;B;12;C;6;BIJGERECHT. MAXI;
10015;ACCOMP. MEDIUM;B;12;C;6;BIJGERECHT. MEDIUM;
10011;ACCOMP. SMALL;B;12;C;6;BIJGERECHT. SMALL;
10032;BIERE MAXI;A;21;A;21;BIER MAXI;
10007;BIERE MEDIUM;A;21;A;21;BIER MEDIUM;
10033;BKF FORMULES ;B;12;C;6;BKF FORMULES;
10026;BKF PATISSERIES  ;B;12;C;6;BKF GEBAK;
10034;BKF VIENNOISERIES;B;12;C;6;BKF ONTBIJTKOEKEN;
10018;BOISSONS CHAUDES;A;21;C;6;WARME DRANKEN;
10035;DESSERTS AUTRES;B;12;C;6;DESSERTEN ANDERE;
10030;DESSERTS ENFANTS;B;12;C;6;DESSERTEN KIDS;
10009;DESSERTS GLACES;B;12;C;6;DESSERTEN IJSJES;
10029;DIVERS;A;21;C;6;DIVERS;
10024;FETES ANNIVERSAIRE;B;12;C;6;FEEST VERJAARDAG;
10006;FINGER FOOD;B;12;C;6;FINGER FOOD;
10037;GD PRODUITS STUD;B;12;C;6;GR PRODUCT STUD;
10038;GD PRODUITS+ STUD;B;12;C;6;GR PRODUCT+ STUD;
10012;GRANDS PRODUITS;B;12;C;6;GROTE PRODUCTEN;
10031;GRANDS PRODUITS+;B;12;C;6;GROTE PRODUCTEN+;
10016;MAGIC BOX;B;12;C;6;MAGIC BOX;
10013;MENUS;B;12;C;6;MENUS;
10022;MENUS GRANDE SALADE;B;12;C;6;MENUS GROTE SALADE;
10025;MENUS OK;B;12;C;6;MENUS OK;
10021;MENUS STUDENT;B;12;C;6;MENUS STUDENT;
10020;MENUS TOP;B;12;C;6;MENUS TOP;
10014;MENUS XL;B;12;C;6;MENUS XL;
10008;PATISSERIES;B;12;C;6;GEBAK;
10010;PETITS PRODUITS;B;12;C;6;KLEIN PRODUCTEN;
10019;PRIMES;A;21;A;21;PREMIES;
10017;SALADES;B;12;C;6;SALADES;
10001;SAUCES;B;12;C;6;SAUZEN;
10023;SHAKES;B;12;C;6;SHAKES;
10036;SOFT KIDS;A;21;C;6;SOFT KIDS;
10004;SOFT MAXI;A;21;C;6;SOFT MAXI;
10003;SOFT MEDIUM;A;21;C;6;SOFT MEDIUM;
10002;SOFT SMALL;A;21;C;6;SOFT SMALL;
10028;VENTES ANNEXES TFaib;C;6;C;6;VENTES ANNEXES TFaib;
10027;VENTES ANNEXES Tfort;A;21;A;21;VENTES ANNEXES Tfort;
